Title,Author,Journal,Type,Year,Abstract,Keyword,,,,,,,,,,,,,,,,,,,
Soviet Neotraditionalism: The Political Corruption Of A Leninist Regime,Jowitt K.,Soviet Studies,Journal,1983,None,None,,,,,,,,,,,,,,,,,,,
'Fundamentalism' Christian and Islamic,Shepard W.,Religion,Journal,Oct-87,This article seeks to answer the question whether the term 'fundamentalism' is an appropriate label for certain Islamic movements by undertaking a detailed comparison with Protestant Christian fundamentalism,,,,,,,,,,,,,,,,,,,,
"Neotraditional towns and urban villages: the cultural production of a geography of ""otherness'",Till K.,Environment &amp; Planning D: Society &amp; Space,Journal,1993,"The ""neotraditional' planning movement in the US is criticized through an analysis of promotional materials for the urban villages of Rancho Santa Margarita in Orange County",,,,,,,,,,,,,,,,,,,,
Neotraditional developments: The anatomy of a new Urban form,McCann E.,Urban Geography,Journal,April-May 1995,Built at a small scale and incorporating many features of certain old-city neighborhoods,, Inc.$None,,,,,,,,,,,,,,,,,,
A theoretical assessment of the 'neotraditional' settlement form by dimensions of performance,Banai R.,Environment and Planning B: Planning and Design,Journal,Mar-96,The 'neotraditional' town is receiving increasing popular,,,,,,,,,,,,,,,,,,,,
The hidden histories and geographies of neotraditional town planning: The case of Seaside,,,,,,, the paradoxical deployment of public and private spaces," and the emergence of a distinctively neotraditional subject. Our basic claim is that neotraditionalism is actually a carefully veiled form of what Foster has called ""postmodernism of reaction"".$None",,,,,,,,,,,,,,,,,
The suburban public realm II: Eurourbanism,,,,,,, or can offer the diversity of experience of the 'traditional' public realm. A more recent addition to the debate has been 'new urbanism' or 'neotraditionalism', whose proponents have put forth a set of planning guidelines for suburbia by drawing on design principles embodied in the traditional American small town. The essay critically evaluates these guidelines by examining their application in two neotraditional developments and proposes a research agenda to move the debate ahead.$None,,,,,,,,,,,,,,,,,
Neotraditional planning: A new strategy for building neighborhoods?,Furuseth O.,Land Use Policy,Journal,Jul-97,Neotraditional planning is an increasingly discussed strategy for building neighborhoods in the United States. To its proponents this urban design-based planning model corrects the flaws inherent in the conventional low density suburban planning that has dominated land use in the United States in the post-World War II era. Neotraditional planning proposes to foster neighborliness and community life through the re-creation of idealized small towns from the early twentieth century. Borrowing design and site planning standards,,,,,,,,,,,,,,,,,,,,
Neotraditionalism in the suburban landscape: Cultural geographies of exclusion in vancouver,,,,,,, LLC. All rights reserved.$None,,,,,,,,,,,,,,,,,,
Russian Neotraditionalism,Gudkov L.,Russian Politics and Law,Journal,March/April 1998,None,None,,,,,,,,,,,,,,,,,,,
